Corridor #,Corridor Description,Corridor Num and Description,FY,Clean Corridor,Type,Detailed Type,Midpoint times,Side of street,SupDistrict,DPW Zone,Representative Street Segment,CNN (Route ID),Evaluation date,Evaluator name,Inspector,"11  Score (10, 20, or 30 score)","21  Litter (10, 20, or 30 score)","22  Grime, Leaks, Spills (% of sidewalk w/out)","24  Illegal Dumping (Y/N, where Y=none)","251  Feces, Needles, Condoms (Y/N, where Y=none)","252  Broken Glass (Y/N, where Y=none)",26  Odors (DPW),27  Odors (nonDPW),31  Public (DPW),32 Public (nonDPW),33  Private (Please indicate nearest address on attached work s,"34 Sidewalk (# on sidewalk, preiously 23)",Total # Trash Receptacles,41  Fullness,42  Cleanliness of trash receptacles,43  Cleanliness around trash receptacles,44  Painting,45  Structural integrity & function,46  Doors,Total # Trees,51  Cleanliness,52  Tree Appearance,53  Weediness,54  Clearance,11 pass,21  Pass,22  Pass,31  Pass,32 Pass,33  Pass,34 Pass,41  Pass,42  Pass,43  Pass,44  Pass,45  Pass,46  Pass,51  Pass,52  Pass,53 Pass,54  Pass,Longitude,Latitude,Location,Priority
5,24th B: Folsom - Valencia,#5 24th B: Folsom - Valencia,2017-18,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,L,9,D,24th St  :  Folsom St  -  Shotwell St,1340000,06/21/2018 12:00:00 AM,Jordan,JBR,1.4,1.2,0.956,1,1,1,1,1,0.5,8.1,0,1.5,8,1,1,1,1,1,1,32,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.414086,37.75250607,,Regular
,Bush St -- Mason to Larkin,,2017-18,,Residential,Residential,Mon 8AM to 12PM,L,3,A,Bush St  :  Jones St  -  Leavenworth St,3440000,06/04/2018 12:00:00 AM,Jordan,JBR,1.8,1.75,0.955,1,1,1,1,1,0,4.55,0,0.55,0,,,,,,,18,0.7466666667,1,1,1,1,1,1,1,0,1,0,,,,,,,0,1,1,1,-122.4137284,37.78952932,,Priority
,Silliman St -- Brussels to Bowdoin,,2017-18,,Residential,Residential,Fri 12PM to 5PM,L,9,D,Silliman St  :  Hamilton St  -  Bowdoin St,11879000,05/11/2018 12:00:00 AM,Jordan,JBR,1,1,0.966,1,1,1,1,1,0,0.6666666667,0,0.1666666667,0,,,,,,,28,0.96,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4110145,37.72968772,,Regular
56,Fremont,#56 Fremont,2017-18,,Commercial,Commercial,Tue 12PM to 5PM,R,6,B,Fremont St  :  Mission St  -  Transbay Hump,5861001,06/05/2018 12:00:00 AM,Jordan,JBR,1,1,0.973,1,1,1,1,1,0,0.5,0,0,0,,,,,,,4,1,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.3966897,37.79046107,,Priority
71,Van Ness 2: 22nd - 18th,#71 Van Ness 2: 22nd - 18th,2017-18,Clean Corridor,Commercial,Residential,Fri 12PM to 5PM,L,9,D,South Van Ness Ave  :  18th St  -  19th St,12025000,06/15/2018 12:00:00 AM,Jordan,JBR,1.1875,1.5,0.959375,1,1,1,1,1,0,3.0625,0,0.5,2,1,1,1,1,1,1,54,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4171789,37.76196753,,Priority
38,Church St: Duboce - 18th,#38 Church St: Duboce - 18th,2017-18,Clean Corridor,Commercial,Public,Thu 12PM to 5PM,R,8,D,18th St  :  Dolores St  -  Church St,887000,06/14/2018 12:00:00 AM,Jordan,JBR,1.3,1.20625,0.9635,1,1,1,1,1,0,5.44375,0,0.71875,8,1,1,1,1,1,1,69,0.9338972431,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4260765,37.76142713,,Priority
,Goettingen St -- Ordway to Campbell,,2017-18,,Residential,Residential,"Tue 12PM to 5PM, Wed 8AM to 12PM",R,10,E,Goettingen St  :  Wilde Ave  -  Alpha St,6246000,06/05/2018 12:00:00 AM,Jordan,JBR,1,1.083333333,0.9775,1,1,1,1,1,0,1,0,0.0833333333,0,,,,,,,15,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4021212,37.7161345,,Priority
,Prague St -- Geneva to Pope,,2017-18,,Residential,Residential,Mon 8AM to 12PM,R,11,E,Prague St  :  Drake St  -  Curtis St,10737000,05/14/2018 12:00:00 AM,Jordan,JBR,1.035714286,1.035714286,0.9702380952,1,1,1,1,1,0,1.5,0,0.0476190476,0,,,,,,,28,0.9444444444,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4366877,37.71002343,,Regular
20,West Portal: Ulloa - 15th Ave,#20 West Portal: Ulloa - 15th Ave,2017-18,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,7,F,West Portal Ave  :  Ulloa St  -  Vicente St,13577101,06/22/2018 12:00:00 AM,Jordan,JBR,1,1,0.972,1,1,1,1,1,0,1.895238095,0,0,5,1,1,1,1,1,1,60,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-122.465829,37.74089198,,Regular
95,Fillmore A: along Sutter,#95 Fillmore A: along Sutter,2017-18,,Commercial,Residential,Thu 12PM to 5PM,L,5,C,Sutter St  :  Laguna St  -  Buchanan St,12335000,05/17/2018 12:00:00 AM,Jordan,JBR,1.375,1,0.9685,1,1,1,1,1,0,2.108333333,0,0,4,1,1,1,1,1,1,44,0.9305555556,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-122.4283356,37.78671266,,Regular
